ProblemType,Problem,Solution
Infinite Series,"Given two series $\sum_{n=0}^\infty a_n$ and $\sum_{n=0}^\infty b_n$,
\[
\sum_{n=0}^\infty (a_0b_n + a_1b_{n-1} + \cdots + a_nb_0)
\]
is called the Cauchy product of $\sum a_n$ and $\sum b_n$.
Suppose that $\sum a_n$ and $\sum b_n$ converge to $\alpha$ and $\beta$ respectively and that the Cauchy product converges to $\delta$. Show then that $\alpha \beta$ is equal to $\delta$.","Since $a_n \to 0$ and $b_n \to 0$ as $n \to \infty$, both power series 
\[
f(x) = \sum_{n=0}^\infty a_n x^n \quad \text{and} \quad g(x) = \sum_{n=0}^\infty b_n x^n
\]
converge absolutely for $|x| < 1$. Hence the product
\[
f(x)g(x) = \sum_{n=0}^\infty (a_0b_n + a_1b_{n-1} + \cdots + a_nb_0) x^n
\]
also converges for $|x| < 1$. It follows from Abel's continuity theorem that $f(x)$, $g(x)$, and $f(x)g(x)$ converge to $\alpha$, $\beta$, and $\alpha \beta$ as $x \to 1^-$. Thus $\delta = \alpha \beta$.
"
Infinite Series,"Given two series $\sum_{n=0}^\infty a_n$ and $\sum_{n=0}^\infty b_n$,
\[
\sum_{n=0}^\infty (a_0b_n + a_1b_{n-1} + \cdots + a_nb_0)
\]
is called the Cauchy product of $\sum a_n$ and $\sum b_n$.
Suppose that $\sum a_n$ converges absolutely to $\alpha$ and that $\sum b_n$ converges to $\beta$. Show that the Cauchy product converges to $\alpha \beta$.","Let 
\[
M = \sum_{n=0}^\infty |a_n| \quad \text{and} \quad s_n = b_0 + b_1 + \cdots + b_n
\]
with $|s_n| \leq K$ for some constant $K > 0$. By (a), it suffices to show the convergence of the Cauchy product. To see this, put
\[
c_n = \sum_{k=0}^n \left(a_0 b_k + a_1 b_{k-1} + \cdots + a_k b_0\right)
= a_0 s_n + a_1 s_{n-1} + \cdots + a_n s_0.
\]

For any $\epsilon > 0$, there exists an integer $N$ satisfying $|s_p - s_q| < \epsilon$ and 
\[
|a_q| + \cdots + |a_p| < \epsilon
\]
for any integers $p$ and $q$ with $p > q \geq N$. Then for all $p > q > 2N$, we get
\[
|c_p - c_q| = \left| \sum_{k=0}^N a_k (s_{p-k} - s_{q-k}) + \sum_{k=N+1}^q a_k (s_{p-k} - s_{q-k}) + \sum_{k=q+1}^p a_k s_{p-k} \right|.
\]

Clearly, the first sum on the right-hand side is estimated above by
\[
M \max_{0 \leq k \leq N} |s_{p-k} - s_{q-k}| < M \epsilon.
\]

The second and third sums are similarly estimated above by
\[
2K \sum_{k=N+1}^p |a_k| < 2K \epsilon.
\]

This implies that the sequence $\{c_n\}$ satisfies the Cauchy criterion."
Infinite Series,"Given two series $\sum_{n=0}^\infty a_n$ and $\sum_{n=0}^\infty b_n$,
\[
\sum_{n=0}^\infty (a_0b_n + a_1b_{n-1} + \cdots + a_nb_0)
\]
is called the Cauchy product of $\sum a_n$ and $\sum b_n$.
Give an example of two convergent series whose Cauchy product is divergent.","For example, take
\[
a_n = b_n = \frac{(-1)^n}{\sqrt{n+1}}.
\]
Obviously $\sum a_n$ and $\sum b_n$ converge. However, we have
\[
\left|a_0 b_n + a_1 b_{n-1} + \cdots + a_n b_0\right| = \sum_{k=1}^{n+1} \frac{1}{\sqrt{k(n+2-k)}}
\geq \sum_{k=1}^{n+1} \frac{2}{k+n+2-k},
\]
which shows the divergence of the Cauchy product, since the last expression is greater than 1.
"
Infinite Series,"For any positive sequence $\{a_n\}_{n \geq 1}$ show the inequality
\[
\sum_{n=1}^\infty (a_1 a_2 \cdots a_n)^{1/n} < e \sum_{n=1}^\infty a_n.
\]

Prove further that the constant $e$ on the right-hand side cannot in general be replaced by any smaller number.","The proof is based on Pólya (1926). Let $\{b_n\}$ be an arbitrary positive sequence. First we write
\[
\sum_{n=1}^m (a_1 a_2 \cdots a_n)^{1/n} = \sum_{n=1}^m \left( \frac{a_1 b_1 a_2 b_2 \cdots a_n b_n}{b_1 b_2 \cdots b_n} \right)^{1/n}.
\]

Using the arithmetic-geometric mean inequality on the right-hand side, the above sum is less than or equal to
\[
\sum_{n=1}^m \frac{1}{(b_1 b_2 \cdots b_n)^{1/n}} \cdot \frac{a_1 b_1 + a_2 b_2 + \cdots + a_n b_n}{n}
= \sum_{k=1}^m a_k b_k \sum_{n=k}^m \frac{1}{n (b_1 b_2 \cdots b_n)^{1/n}}.
\]

We now take 
\[
b_n = n \left(1 + \frac{1}{n}\right)^n
\]
so that $(b_1 b_2 \cdots b_n)^{1/n} = n + 1$. Therefore we have
\[
\sum_{k=1}^m a_k b_k \sum_{n=k}^m \frac{1}{n (n+1)} = \sum_{k=1}^m a_k b_k \left( \frac{1}{k} - \frac{1}{m+1} \right)
< \sum_{k=1}^m a_k \left( 1 + \frac{1}{k} \right)^k
\]
and this is smaller than $e \sum_{k=1}^m a_k$. Note that the equality does not occur in the original inequality when $m \to \infty$.

To see that $e$ cannot be replaced by any smaller number, we take, for example,
\[
a_n = 
\begin{cases} 
n^{-1} & \text{for } 1 \leq n \leq m, \\
2^{-n} & \text{for } n > m,
\end{cases}
\]
where $m$ is an integer parameter. Then it is not hard to see that
\[
\sum_{n=1}^\infty (a_1 a_2 \cdots a_n)^{1/n} = \sum_{n=1}^m n^{1-1/n} + O(1)
= e \log m + O(1),
\]
and
\[
\sum_{n=1}^\infty a_n = 1 + \sum_{n=1}^m \frac{1}{n} = \log m + O(1),
\]
which implies that the ratio of the above two sums converges to $e$ as $m \to \infty$."
Infinite Series,"For any positive sequence $\{a_n\}_{n \geq 1}$ show the inequality
\[
\left( \sum_{n=1}^\infty a_n \right)^4 < \pi^2 \left( \sum_{n=1}^\infty a_n^2 \right) \left( \sum_{n=1}^\infty n^2 a^2_n \right).
\]

Prove further that the constant $\pi^2$ on the right-hand side cannot in general be replaced by any smaller number.","Put 
\[
\alpha = \sum_{n=1}^\infty a_n^2 \quad \text{and} \quad \beta = \sum_{n=1}^\infty n^2 a_n^2
\]
for brevity. We of course assume that $\beta$ is finite. Introducing two positive parameters $\sigma$ and $\tau$, we first write
\[
\left(\sum_{n=1}^\infty a_n\right)^2 = \left(\sum_{n=1}^\infty a_n \sqrt{\sigma + \tau n^2} \cdot \frac{1}{\sqrt{\sigma + \tau n^2}} \right)^2.
\]
Using the Cauchy-Schwarz inequality, this is less than or equal to
\[
\sum_{n=1}^\infty \frac{1}{\sigma + \tau n^2} \sum_{n=1}^\infty a_n^2 (\sigma + \tau n^2) = (\sigma \alpha + \beta \tau) \sum_{n=1}^\infty \frac{1}{\sigma + \tau n^2}.
\]
Since the function $1/(\sigma + \tau x^2)$ is monotone decreasing on $[0, \infty)$, we obtain
\[
\sum_{n=1}^\infty \frac{1}{\sigma + \tau n^2} < \int_0^\infty \frac{dx}{\sigma + \tau x^2} = \frac{\pi}{2 \sqrt{\sigma \tau}},
\]
which implies that
\[
\left(\sum_{n=1}^\infty a_n\right)^2 < \frac{\pi}{2} \cdot \frac{\sigma \alpha + \beta \tau}{\sqrt{\sigma \tau}}.
\]
The right-hand side attains its minimum $\pi \sqrt{\alpha \beta}$ at $\sigma / \tau = \beta / \alpha$.

To see that $\pi^2$ cannot be replaced by any smaller number, we take, for example,
\[
a_n = \frac{\sqrt{\rho}}{\rho + n^2}
\]
with a positive parameter $\rho$. It then follows from
\[
\sqrt{\rho} \int_1^\infty \frac{dx}{\rho + x^2} < \sum_{n=1}^\infty a_n < \sqrt{\rho} \int_0^\infty \frac{dx}{\rho + x^2}
\]
that
\[
\sum_{n=1}^\infty a_n = \frac{\pi}{2} + O\left(\frac{1}{\sqrt{\rho}}\right)
\]
as $\rho \to \infty$. Similarly, we have
\[
\sum_{n=1}^\infty a_n^2 = \frac{\pi}{4 \sqrt{\rho}} + O\left(\frac{1}{\rho}\right)
\]
and
\[
\sum_{n=1}^\infty n^2 a_n^2 = \sqrt{\rho} \sum_{n=1}^\infty a_n - \rho \sum_{n=1}^\infty a_n^2 = \frac{\pi}{4} \sqrt{\rho} + O(1),
\]
which imply that
\[
\left(\sum_{n=1}^\infty a_n\right)^4 = \frac{\pi^4}{16} + O\left(\frac{1}{\sqrt{\rho}}\right),
\]
and
\[
\sum_{n=1}^\infty a_n^2 \sum_{n=1}^\infty n^2 a_n^2 = \frac{\pi^2}{16} + O\left(\frac{1}{\sqrt{\rho}}\right)
\]
as $\rho \to \infty$."
Infinite Series,Show that the convergence of $\sum_{n=1}^\infty n a_n$ implies that of $\sum_{n=1}^\infty a_n$.,"Put 
\[
b_n = a_1 + 2a_2 + \cdots + n a_n,
\]
and let $M$ be the least upper bound of $|b_n|$. For any $\epsilon > 0$ and any integers $p, q$ with $p > q > 2M / \epsilon$, we have
\[
\left| \sum_{n=q}^p a_n \right| = \left| \frac{b_q - b_{q-1}}{q} + \frac{b_{q+1} - b_q}{q+1} + \cdots + \frac{b_p - b_{p-1}}{p} \right|.
\]

This can be written as
\[
\left| \sum_{n=q}^p a_n \right| = \left| \frac{-b_{q-1}}{q} + \left( \frac{1}{q} - \frac{1}{q+1} \right)b_q + \cdots + \left( \frac{1}{p-1} - \frac{1}{p} \right)b_{p-1} + \frac{b_p}{p} \right|.
\]

This is bounded above as follows:
\[
\left| \sum_{n=q}^p a_n \right| \leq \frac{2M}{q},
\]
which is clearly less than $\epsilon$. This is nothing but the Cauchy criterion for the convergence of the series $\sum a_n$.
\qed"
Infinite Series,Show that $\frac{1}{n} \sum_{k=1}^n a_k$ converges to $0$ when $\sum_{n=1}^\infty \frac{a_n}{n}$ converges.,"Put
\[
\frac{a_1}{1} + \frac{a_2}{2} + \cdots + \frac{a_n}{n} = \alpha + \epsilon_n \quad \text{and} \quad
\sigma_n = \frac{a_1 + a_2 + \cdots + a_n}{n},
\]
where $\epsilon_n$ is a sequence converging to $0$.

We now show that
\[
\sigma_n = \frac{\alpha}{n} - \frac{\epsilon_1 + \epsilon_2 + \cdots + \epsilon_{n-1}}{n} + \epsilon_n \tag{2.3}
\]
by induction on $n$. The case $n=1$ is clear, since $\sigma_1 = a_1 = \alpha + \epsilon_1$. Suppose next that $(2.3)$ holds for $n=m$. We then have
\[
\sigma_{m+1} = \frac{m}{m+1} \sigma_m + \frac{a_{m+1}}{m+1}
\]
\[
= \frac{m}{m+1} \left( \frac{\alpha}{m} - \frac{\epsilon_1 + \cdots + \epsilon_{m-1}}{m} + \epsilon_m \right) + \frac{a_{m+1}}{m+1}
\]
\[
= \frac{\alpha}{m+1} - \frac{\epsilon_1 + \cdots + \epsilon_m}{m+1} + \epsilon_{m+1},
\]
as required. Obviously $(2.3)$ implies that $\sigma_n$ converges to $0$ as $n \to \infty$. \qed"
Infinite Series,"Suppose that $\{a_n\}_{n \geq 1}$ is a non-negative sequence satisfying $\sum_{n=1}^\infty a_n = \infty$.
Then show that the series
\[
\sum_{n=1}^\infty \frac{a_n}{\left(a_1 + a_2 + \cdots + a_n\right)^\alpha}
\]
converges when $\alpha > 1$, and diverges when $0 < \alpha \leq 1$.","Put $s_n = a_1 + a_2 + \cdots + a_n$. The convergence is clear when $\alpha > 1$, since
\[
\sum_{n=2}^\infty \frac{a_n}{s_n^\alpha} \leq \sum_{n=2}^\infty \int_{s_{n-1}}^{s_n} \frac{dx}{x^\alpha} = \int_{s_1}^\infty \frac{dx}{x^\alpha} < \infty.
\]

When $0 < \alpha \leq 1$, it suffices to consider the case $\alpha = 1$ since $s_n > 1$ for all sufficiently large $n$. Suppose first that $s_{n-1} < a_n$ for infinitely many $n$'s. We then have $a_n / s_n > 1/2$ for infinitely many $n$'s, which shows the divergence of the series. 

Consider next the case in which $s_{n-1} \geq a_n$ for all integers $n$ greater than some integer $N$. Then
\[
\sum_{n>N} \frac{a_n}{s_n} \geq \frac{1}{2} \sum_{n>N} \int_{s_{n-1}}^{s_n} \frac{dx}{x}
= \frac{1}{2} \int_{s_N}^\infty \frac{dx}{x} = \infty.
\]

Note that the divergence of the sequence $s_n$ is essential in the second case. \qed"
Infinite Series,"Suppose that $\sum_{n=1}^\infty a_n b_n$ converges for any sequence $\{b_n\}$ converging. 
Then show that $\sum_{n=1}^\infty a_n$ converges absolutely.","Without loss of generality, we can assume that $\{a_n\}$ is a non-negative sequence, since we can take $-b_n$ instead of $b_n$. Suppose, on the contrary, that the series $\sum a_n$ diverges to $\infty$. It follows from the result of \textbf{Problem 2.7} that
\[
\sum_{n=1}^\infty \frac{a_n}{a_1 + a_2 + \cdots + a_n} = \infty,
\]
contrary to the assumption since
\[
b_n = \frac{1}{a_1 + a_2 + \cdots + a_n}
\]
converges to $0$ as $n \to \infty$. \qed"
Infinite Series,"Suppose that $\sum_{n=1}^\infty a_n b_n$ converges for any sequence $\{b_n\}$ such that $\sum_{n=1}^\infty b_n^2$ converges. 
Then show that $\sum_{n=1}^\infty a_n^2$ also converges.","Suppose, on the contrary, that $\sum a_n^2$ diverges to $\infty$. By the result of \textbf{Problem 2.7}, we have
\[
\sum_{n=1}^\infty \frac{a_n^2}{(a_1^2 + a_2^2 + \cdots + a_n^2)^2} < \infty,
\]
contrary to the assumption since
\[
b_n = \frac{a_n}{a_1^2 + a_2^2 + \cdots + a_n^2}
\]
satisfies
\[
\sum_{n=1}^\infty a_n b_n = \sum_{n=1}^\infty \frac{a_n^2}{a_1^2 + a_2^2 + \cdots + a_n^2} = \infty. \qed"
Infinite Series,"The limit
\[
\gamma = \lim_{n \to \infty} \left( 1 + \frac{1}{2} + \cdots + \frac{1}{n} - \log n \right) 
= 0.5772156649015328606065120\ldots
\]
is called Euler's constant or sometimes the Euler-Mascheroni constant. Show that the following series converges to $\gamma$:
\[
\frac{1}{2} - \frac{1}{3} + 2 \left( \frac{1}{4} - \frac{1}{5} + \frac{1}{6} - \frac{1}{7} \right) 
+ 3 \left( \frac{1}{8} - \frac{1}{9} + \cdots - \frac{1}{15} \right) + \cdots.
\]","For brevity put
\[
\sigma_n = 1 - \frac{1}{2} + \frac{1}{3} - \cdots + \frac{1}{2n - 1} - \log 2
\]
for any positive integer $n$. It is easily seen that
\[
\sigma_1 + \sigma_2 + \cdots + \sigma_n = 1 + \frac{1}{2} + \cdots + \frac{1}{2n - 1} - n \log 2;
\]
therefore
\[
\gamma = \lim_{n \to \infty} (\sigma_1 + \sigma_2 + \cdots + \sigma_n).
\]
We have Vacca's formula by noticing that $\sigma_n = \tau_n + \tau_{n+1} + \cdots$, where
\[
\tau_n = \frac{1}{2^n} - \frac{1}{2^n + 1} + \frac{1}{2^n + 2} - \cdots - \frac{1}{2^{n+1} - 1}.
\]"
Infinite Series,"Making use of the formula
\[
\frac{\sin(2n+1)\theta}{(2n+1)\sin \theta} = \prod_{k=1}^n \left(1 - \frac{\sin^2 \theta}{\sin^2 k\pi / (2n+1)} \right),
\]
show that
\[
\frac{\sin \pi x}{\pi x} = \prod_{n=1}^\infty \left( 1 - \frac{x^2}{n^2} \right)
\]
holds for all real $x$.","Since it is easily verified that $\sin(2n+1)\theta$ is a polynomial of $\sin \theta$ by induction, we can write
\[
p_n(\sin^2 \theta) = \frac{\sin(2n+1)\theta}{\sin \theta}
\]
where $p_n(x)$ is a polynomial of degree $n$ satisfying $p_n(0) = 2n+1$. The zeros of $p_n(x)$ can be obtained by solving the equation $\sin(2n+1)\theta = 0$ with $\sin \theta \neq 0$; therefore we get the following $n$ points:
\[
\sin^2 \xi_{1,n} < \sin^2 \xi_{2,n} < \cdots < \sin^2 \xi_{n,n}
\]
in the interval $(0,1)$ where $\xi_{k,n} = k\pi/(2n+1) \in (0, \pi/2)$. Hence we have
\[
\sin(2n+1)\theta = (2n+1) \sin \theta \prod_{k=1}^n \left(1 - \frac{\sin^2 \theta}{\sin^2 \xi_{k,n}}\right).
\]

By the substitution $x = (2n+1)\theta/\pi$,
\[
\frac{\sin \pi x}{\pi x} \cdot \frac{x_n}{\sin x_n} = \prod_{k=1}^n \left(1 - \frac{\sin^2 x_n}{\sin^2 \xi_{k,n}}\right),
\]
where $x_n = \pi x / (2n+1)$.

We can assume $x$ is not an integer; otherwise, the expansion clearly holds. Take any positive integers $n$ and $m$ satisfying $n > m > |x|$ so that $|x_n| < \xi_{k,n}$. Putting
\[
\eta_{m,n} = \prod_{k=m+1}^n \left(1 - \frac{\sin^2 x_n}{\sin^2 \xi_{k,n}}\right),
\]
we get
\[
\lim_{n \to \infty} \frac{1}{\eta_{m,n}} = \frac{\pi x}{\sin \pi x} \prod_{k=1}^m \left(1 - \frac{x^2}{k^2}\right).
\]

On the other hand,
\[
1 > \eta_{m,n} \geq 1 - \sum_{k=m+1}^n \frac{\sin^2 x_n}{\sin^2 \xi_{k,n}}
\]
since
\[
(1 - \alpha_1)(1 - \alpha_2) \cdots (1 - \alpha_n) \geq 1 - \alpha_1 - \cdots - \alpha_n
\]
for any $0 < \alpha_k < 1$ and any positive integer $N$. Using now the inequalities
\[
\frac{2\theta}{\pi} < \sin \theta < \theta
\]
holding for $0 < \theta < \pi/2$,
\[
\eta_{m,n} \geq 1 - \frac{\pi^2}{4} \sum_{k=m+1}^n \frac{x_n^2}{\xi_{k,n}^2} \geq 1 - \frac{\pi^2 x^2}{4m},
\]
since
\[
\sum_{k=m+1}^\infty \frac{1}{k^2} < \frac{1}{m}.
\]

Hence $\lim_{n \to \infty} \eta_{m,n}$ converges to $1$ as $m \to \infty$."
Continuous Functions,"Suppose that $f \in C(\mathbb{R})$ and that $f(x+1) - f(x)$ converges to $0$ as $x \to \infty$. Then show that
\[
\frac{f(x)}{x}
\]
also converges to $0$ as $x \to \infty$. Suppose further that $f(x+y) - f(x)$ converges to $0$ as $x \to \infty$ for an arbitrary fixed $y$. Show then that this convergence is uniform on compact sets in $\mathbb{R}$.","For any $\epsilon > 0$ there exists an integer $N$ satisfying
\[
-\epsilon < f(x+1) - f(x) < \epsilon
\]
for any $x > N$. Summing the following $\ell = \lfloor x \rfloor - N$ inequalities
\[
-\epsilon < f(x-j+1) - f(x-j) < \epsilon
\]
for $j = 1, \ldots, \ell$ and for $x \geq N+1$ we get
\[
-\epsilon(\lfloor x \rfloor - N) < f(x) - f(x-\ell) < \epsilon(\lfloor x \rfloor - N).
\]
Since $N \leq x - \ell < N+1$, it follows from this that
\[
-M - \epsilon(x - N + 1) < f(x) < M + \epsilon(x - N),
\]
where $M$ is the maximum of $|f(x)|$ on $[N, N+1]$. Therefore
\[
\frac{|f(x)|}{x} < \frac{M + \epsilon(x - N + 1)}{x} < \epsilon + \frac{M}{x},
\]
which implies that $|f(x)/x| < 2\epsilon$ for any $x > \max\{N+1, M/\epsilon\}$.

To show the latter half of the problem put
\[
g_x(y) = \sup_{t \geq x} |f(t+y) - f(t)|,
\]
which converges to $0$ as $x \to \infty$ for an arbitrary fixed $y$. If $g_x(y_0) > s$, then there exists $t_0 \geq x$ satisfying $|f(t_0+y_0) - f(t_0)| > s$. By the continuity of $f$, we have $|f(t+y) - f(t)| > s$ for any $(t, y)$ sufficiently close to $(t_0, y_0)$. This means that $g_x(y) > s$ for any $y$ sufficiently close to $y_0$; in other words, the set
\[
\{y \in \mathbb{R} : g_x(y) > s\}
\]
is an open set. Hence $\{g_n(y)\}$ is a sequence of Borel measurable functions converging pointwise to $0$. By Egoroff's theorem we can find a measurable set $F \subset [-1, 1]$ whose measure is greater than $3/2$ such that $g_n(y)$ converges to $0$ uniformly on $F$; therefore for any $\epsilon > 0$ there exists an integer $N$ satisfying $g_n(y) < \epsilon$ for any $n > N$ and any $y \in F$. By the theorem due to Steinhaus (1920) there exists an interval $I$ such that any point $y$ in $I$ can be expressed as $y = u - v$ with $u, v \in F \cap (-F)$, since the measure of $F \cap (-F)$ is positive. Clearly $-y$ has such an expression, and we can assume that $I$ is contained in the positive real axis. For any non-negative $x$ we have
\[
g_n(x+x') = \sup_{t \geq n} |f(t+x+x') - f(t)| \leq \sup_{t \geq n} |f(t+x) - f(t)| + \sup_{t \geq n} |f(t+x') - f(t+x)| = g_n(x) + g_n(x').
\]
Applying the above inequality to $y = u - v \in I$ we get
\[
g_n(y) = g_n(u-v) \leq g_n(u) + g_n(-v) < 2\epsilon,
\]
since the case does not occur in which both $u$ and $-v$ are negative. This implies that $\{g_n(y)\}$ converges to $0$ uniformly on the interval $I$. This is also true on any set consisting of finite parallel translations of $I$ since $g_n(x+x') \leq g_n(x) + g_n(x')$ for any $x \in I$ and $x'$."
Continuous Functions,"Let $p_n(x)$ be any polynomial with integer coefficients whose degree is greater than or equal to $1$, and let $I$ be any closed interval of length $\geq 4$. Then show that there exists at least one point $x$ in $I$ satisfying
\[
|p_n(x)| \geq 2.
\]","Let $I$ be any closed interval of length 4. We solve this problem for any polynomial 
\[
p_n(x) = a_n x^n + a_{n-1}x^{n-1} + \cdots + a_0
\]
with a non-zero integer $a_n$ and real $a_{n-1}, \ldots, a_0$. Since $a_n$ is invariant under parallel translation, we can assume that $I = [-2, 2]$. Let $M$ be the difference of the maximum and the minimum of $p_n$ on the interval $I$. It may be convenient to introduce the notation
\[
\sum_{k=0}^n{}^* b_k = b_0 + 2b_1 + 2b_2 + \cdots + 2b_{n-1} + b_n.
\]

Now for any integer $0 \leq s < n$, put $\omega = -e^{\pi i / n} \neq 1$; hence
\[
\sum_{k=0}^n{}^* \omega^k = \frac{(1+\omega)(1-\omega^n)}{1-\omega} = (1 - (-1)^{s+n}) \frac{1+\omega}{1-\omega}.
\]

Since $\overline{\omega} = \omega^{-1}$, it can be seen that the real part of the above expression vanishes; in other words,
\[
\sum_{k=0}^n{}^* (-1)^k \cos\frac{ks}{n}\pi = 0.
\]

On the other hand, it is clear that $2\cos s\theta = e^{i s \theta} + e^{-i s \theta}$ is a polynomial in $2\cos\theta = e^{i\theta} + e^{-i\theta}$ with integer coefficients of degree $s$. Hence we can write
\[
2\cos s\theta = \tau_s(2\cos\theta).
\]

Since $s$ is arbitrary, we get
\[
\sum_{k=0}^n{}^* (-1)^k \alpha_k^s = 0
\]
for any $0 \leq s < n$, where 
\[
\alpha_k = 2\cos\frac{k\pi}{n}.
\]

Also for $s = n$,
\[
\sum_{k=0}^n{}^* (-1)^k \alpha_k^n = \sum_{k=0}^n{}^* (-1)^k \tau_n(\alpha_k) = 2\sum_{k=0}^n{}^* (-1)^k \cos k\pi = 4n,
\]
since the coefficient of the leading term of $\tau_n(x)$ is equal to 1. Hence we have
\[
4n|a_n| = \left| \sum_{k=0}^n{}^* (-1)^k p_n(\alpha_k) \right| \leq \sum_{k=0}^{n-1} |p_n(\alpha_k) - p_n(\alpha_{k+1})| \leq nM,
\]
which implies that $M \geq 4|a_n| \geq 4$. We thus have $\max_{x \in I} |p_n(x)| \geq 2$. 
"
Continuous Functions,"Let $f_n \in C[a, b]$ be a monotone increasing sequence
\[
f_1(x) \leq f_2(x) \leq \cdots,
\]
which converges pointwise to $f(x) \in C[a, b]$. Show that the convergence is uniform on $[a, b]$.","For any $\epsilon > 0$ define the set
\[
E_n = \{x \in [a, b] : |f(x) - f_n(x)| \geq \epsilon\}.
\]

Then $\{E_n\}$ is a sequence of monotone decreasing compact sets in view of the continuity of $f_n$ and $f$. Suppose now that $E_n$ is not empty for any positive integer $n$. It then follows that
\[
\bigcap_{n=1}^\infty E_n \neq \emptyset.
\]

Let $x_0$ be some point belonging to all the sets $E_n$. But this means that $\{f_n(x_0)\}$ does not converge to $f(x_0)$, contrary to the assumption. Thus $E_n$ is empty for all sufficiently large $n$; in other words, $|f(x) - f_n(x)| < \epsilon$ for any $x \in [a, b]$. "
Continuous Functions,"Suppose that $f \in C[0, \infty)$ and that $f(nx)$ converges to $0$ as $n \to \infty$ for an arbitrary non-negative $x$. Prove or disprove that $f(x)$ converges to $0$ as $x \to \infty$.","We prove that the assertion is true. Suppose, on the contrary, that $f(x)$ does not converge to 0 as $x \to \infty$. We then find a strictly monotone increasing sequence $1 < x_1 < x_2 < \cdots$ diverging to $\infty$ and a positive constant $\delta$ satisfying
\[
|f(x_k)| > 2\delta
\]
for any positive integer $k$. By the continuity of $f$ we can find a sufficiently small $\epsilon_k > 0$ such that $|f(x)| \geq \delta$ holds on the interval $[x_k - \epsilon_k, x_k + \epsilon_k]$ for each $k$. Now put
\[
E_n = \bigcup_{k=n}^\infty \bigcup_{m=-\infty}^\infty \left( \frac{m - \epsilon_k}{x_k}, \frac{m + \epsilon_k}{x_k} \right)
\]
for all positive integers $n$. $E_n$ is an open and dense set since $x_k$ diverges to $\infty$ as $k \to \infty$. Since $\mathbb{R}$ is a Baire space, the intersection
\[
\bigcap_{n=1}^\infty E_n
\]
is also a dense set; thus we can choose a point $x^* > 1$ which belongs to all the sets $E_n$. Namely, there exist two integers $k_n \geq n$ and $m_n$ satisfying
\[
\left| x^* - \frac{m_n}{x_{k_n}} \right| < \frac{\epsilon_{k_n}}{x_{k_n}}
\]
for all $n$. Note that $m_n$ diverges to $\infty$ as $n \to \infty$. Therefore
\[
\left| x_{k_n} - \frac{m_n}{x^*} \right| < \frac{\epsilon_{k_n}}{x^*} < \epsilon_{k_n},
\]
which implies that $|f(m_n / x^*)| \geq \delta$, contrary to the assumption that $f(nx)$ converges to 0 as $n \to \infty$ at $x = 1 / x^*$."
Continuous Functions,"Show that there are no continuous functions $f$, $g$, and $h$ defined on $\mathbb{R}$ satisfying
\[
h(f(x) + g(y)) = xy
\]
for all points $(x, y)$ in $\mathbb{R}^2$.","If continuous functions $f, g$ and $h$ on $\mathbb{R}$ satisfy the relation
\[
h(f(x) + g(y)) = xy
\]
for all $x$ and $y$, the function $h(x)$ must be surjective onto $\mathbb{R}$ since $xy$ takes all real values. Now if $f(x) = f(x')$, then
\[
x = h(f(x) + g(1)) = h(f(x') + g(1)) = x'.
\]
Thus $f(x)$ is one-to-one and hence strictly monotone. Suppose that $f$ is bounded above. The limit of $f(x)$ as $x \to \infty$ exists, say $a$. We then see that
\[
h(a + g(1)) = \lim_{x \to \infty} h(f(x) + g(1)) = \lim_{x \to \infty} x = \infty,
\]
a contradiction. Thus $f(x)$ is unbounded above. The similar argument can be applied when $x \to -\infty$. Therefore $f$ is one-to-one onto $\mathbb{R}$. Since
\[
h(f(x) + g(0)) = 0
\]
holds for all $x$, the function $h(x)$ vanishes identically. This is clearly a contradiction."
